theta,delta_V_learned,delta_V_true
-0.5777539884549476,-5.6915727,-5.621091497667331
-0.5651624347331463,-5.681402,-5.621639978133192
-0.5525708810113432,-5.6704783,-5.622152998650425
-0.5399793272895401,-5.658797,-5.622632121550275
-0.527387773567737,-5.6464076,-5.623078873963859
-0.5147962198459339,-5.633423,-5.623494747822169
-0.5022046661241326,-5.620023,-5.623881199856063
-0.4896131124023295,-5.6064467,-5.6242396515962785
-0.4770215586805264,-5.592972,-5.62457148937342
-0.46443000495872333,-5.5798864,-5.624878064317968
-0.45183845123692024,-5.5674515,-5.625160692360271
-0.4392468975151189,-5.555868,-5.625420654230552
-0.42665534379331405,-5.545258,-5.625659195458906
-0.4140637900715127,-5.5356493,-5.6258775263753
-0.40147223634970963,-5.5269856,-5.626076822109573
-0.38888068262790654,-5.5191426,-5.626258222591436
-0.37628912890610344,-5.511951,-5.626422832550474
-0.36369757518430035,-5.5052176,-5.62657172151614
-0.35110602146249903,-5.498752,-5.626705923817765
-0.33851446774069593,-5.492378,-5.626826438584546
-0.32592291401889284,-5.4859447,-5.626934229745556
-0.31333136029708974,-5.479331,-5.627030226029739
-0.30073980657528665,-5.472444,-5.627115320965912
-0.28814825285348533,-5.465221,-5.6271903728827635
-0.27555669913168224,-5.4576216,-5.6272562049088535
-0.26296514540987914,-5.449628,-5.627313604972614
-0.25037359168807605,-5.4412403,-5.627363325802351
-0.23778203796627295,-5.432473,-5.627406084926243
-0.22519048424447163,-5.423356,-5.627442564672336
-0.21259893052266676,-5.4139295,-5.627473412168553
-0.20000737680086544,-5.4042425,-5.627499239342687
-0.18741582307906235,-5.394354,-5.627520622922405
-0.17482426935725925,-5.3843274,-5.627538104435244
-0.16223271563545616,-5.374231,-5.627552190208614
-0.14964116191365306,-5.3641324,-5.627563351369796
-0.13704960819185175,-5.3541017,-5.6275720238459455
-0.12445805447004865,-5.3442025,-5.6275786083640895
-0.11186650074824556,-5.3344936,-5.627583470451125
-0.09927494702644246,-5.325027,-5.627586940433823
