theta,delta_V_true,delta_V_dvnet,delta_V_lora
1.159880425153835,0.43493453481079036,1.2147641,1.2147641
1.1724719788756381,0.3555615418633855,1.1722713,1.1722713
1.1850635325974412,0.2735792644463188,1.1271613,1.1271613
1.1976550863192426,0.18951517183652125,1.0798705,1.0798705
1.2102466400410457,0.1039101275905929,1.030823,1.030823
1.2228381937628487,0.0173149096597277,0.98044366,0.98044366
1.2354297474846518,-0.06971333328412017,0.9291391,0.9291391
1.248021301206455,-0.1566146665108669,0.8773114,0.8773114
1.2606128549282563,-0.2428299718202676,0.82534593,0.82534593
1.2732044086500593,-0.327804544876436,0.77361506,0.77361506
1.2857959623718624,-0.41099166414369886,0.7224905,0.7224905
1.2983875160936655,-0.4918561084616863,0.672322,0.672322
1.3109790698154686,-0.5698776006276081,0.6234562,0.6234562
1.3235706235372717,-0.6445541548299747,0.57622427,0.57622427
1.336162177259073,-0.7154053063965458,0.5309462,0.5309462
1.3487537309808761,-0.7819752030765464,0.48793262,0.48793262
1.3613452847026792,-0.8438355379678816,0.44747418,0.44747418
1.3739368384244823,-0.9005883052192483,0.40984792,0.40984792
1.3865283921462854,-0.9518683607769751,0.37530345,0.37530345
1.3991199458680885,-0.9973457717009482,0.34406394,0.34406394
1.4117114995898898,-1.0367279389342445,0.31632394,0.31632394
1.424303053311693,-1.0697614798687238,0.29222792,0.29222792
1.436894607033496,-1.0962338585941842,0.27188033,0.27188033
1.4494861607552991,-1.1159747533422553,0.25531882,0.25531882
1.4620777144771022,-1.128857152326896,0.24251908,0.24251908
1.4746692681989035,-1.134798170930948,0.23337644,0.23337644
1.4872608219207066,-1.133759584981019,0.22770184,0.22770184
1.4998523756425097,-1.1257480766796182,0.22521609,0.22521609
1.5124439293643128,-1.1108151916122546,0.22555119,0.22555119
1.525035483086116,-1.0890570071060892,0.22825342,0.22825342
1.537627036807919,-1.0606135140739161,0.23280364,0.23280364
1.5502185905297203,-1.025667716320654,0.23864108,0.23864108
1.5628101442515234,-0.9844444531073245,0.24521488,0.24521488
1.5754016979733265,-0.9372089525481619,0.2520247,0.2520247
1.5879932516951296,-0.8842651251480926,0.25869614,0.25869614
1.6005848054169327,-0.825953608459962,0.26504105,0.26504105
1.613176359138734,-0.762649575442042,0.27111137,0.27111137
1.6257679128605371,-0.6947603206166668,0.27722877,0.27722877
1.6383594665823402,-0.6227226395606653,0.28397727,0.28397727
1.6509510203041433,-0.5470000185875993,0.2921511,0.2921511
1.6635425740259464,-0.46807965270338714,0.30266893,0.30266893
1.6761341277477495,-0.3864693110215321,0.31646174,0.31646174
1.6887256814695508,-0.3026940698057513,0.33436066,0.33436066
1.701317235191354,-0.21729293415931766,0.35701007,0.35701007
1.713908788913157,-0.13081537009717778,0.38480705,0.38480705
1.72650034263496,-0.04381776931303363,0.41789562,0.41789562
1.7390918963567632,0.04314013061293317,0.45618922,0.45618922
1.7516834500785663,0.1294988475335827,0.49940842,0.49940842
1.7642750038003676,0.2147027544109025,0.5471564,0.5471564
1.7768665575221707,0.2982036541885883,0.5989582,0.5989582
1.7894581112439738,0.37946430686042637,0.6543196,0.6543196
1.802049664965777,0.4579618860417727,0.7127598,0.7127598
1.81464121868758,0.5331913428045513,0.77382284,0.77382284
1.8272327724093813,0.6046686551331181,0.837102,0.837102
1.8398243261311844,0.6719339420942227,0.90221316,0.90221316
